actor,timestamp,verb,xml,scenario,level,success,score
A5A6ED94,2023-09-18T14:26:26.6860000Z,exited,levels/blocklymaze/niveau08.xml,,,,
A5A6ED94,2023-09-18T14:26:27.1900000Z,launched,levels/infiltration/niveau16.xml,4 - selectionneur,[fr]niveau06[/fr][en]level06[/en],,
A5A6ED94,2023-09-18T14:27:12.7810000Z,completed,,,,True,4166
A5A6ED94,2023-09-18T14:27:13.5090000Z,exited,levels/infiltration/niveau16.xml,,,,
A5A6ED94,2023-09-18T14:27:14.0350000Z,launched,levels/infiltration/niveau20.xml,4 - selectionneur,[fr]niveau07[/fr][en]level07[/en],,
A5A6ED94,2023-09-18T14:28:05.1790000Z,completed,,,,True,3666
A5A6ED94,2023-09-18T14:28:06.0390000Z,exited,levels/infiltration/niveau20.xml,,,,
A5A6ED94,2023-09-18T14:28:06.5410000Z,launched,levels/selectionneur/niveau01.xml,4 - selectionneur,[fr]niveau08[/fr][en]level08[/en],,
A5A6ED94,2023-09-18T14:28:12.1710000Z,exited,levels/selectionneur/niveau01.xml,,,,
A5A6ED94,2023-09-18T14:28:15.0510000Z,launched,levels/infiltration/niveau20.xml,4 - selectionneur,[fr]niveau07[/fr][en]level07[/en],,
A5A6ED94,2023-09-18T14:28:42.7360000Z,completed,,,,True,4666
A5A6ED94,2023-09-18T14:28:44.0990000Z,exited,levels/infiltration/niveau20.xml,,,,
A5A6ED94,2023-09-18T14:28:44.6020000Z,launched,levels/selectionneur/niveau01.xml,4 - selectionneur,[fr]niveau08[/fr][en]level08[/en],,
A5A6ED94,2023-09-18T14:30:17.6590000Z,completed,,,,True,4527
A5A6ED94,2023-09-18T14:30:24.6610000Z,exited,levels/selectionneur/niveau01.xml,,,,
